index	livre	statut	vrai_debut_selon_source	source
184	Le Quatrième Mur (« Je suis tombé. Je me suis relevé. »)	PARTIEL	1re phrase « Je suis tombé. » confirmée ; la suite est à vérifier dans le livre	https://lecturesanalytiquessite.wordpress.com/2017/06/27/le-quatrieme-mur-chapitre-1/
138	La Première gorgée de bière	INTROUVABLE		
139	Je vais bien, ne t'en fais pas	INTROUVABLE		
140	S'adapter	FAUX	Un jour, dans une famille, est né un enfant inadapté.	https://ifsuede.com/wp-content/uploads/2023/03/Sadapter-Clara-Dupont-Monod-.pdf
141	L'Inceste	INTROUVABLE		
142	Garçon manqué	INTROUVABLE		
143	Dans les forêts de Sibérie	FAUX	Je m'étais promis avant mes quarante ans de vivre en ermite au fond des bois.	https://www.gallimard.fr/catalogue/dans-les-forets-de-siberie/9782070129256
144	Kiffe kiffe demain	FAUX	C'est lundi et comme tous les lundis, je suis allée chez Mme Burlaud.	https://booknode.com/kiffe_kiffe_demain_048981/extraits
145	Shérazade	INTROUVABLE		
146	Le Testament français	INTROUVABLE		
147	L'Hiver aux trousses	INTROUVABLE		
148	Le Village de l'Allemand	INTROUVABLE		https://excerpts.numilog.com/books/9782070396993.pdf
149	La Clé de Smyrne	INTROUVABLE		
150	Les Hirondelles de Kaboul	INTROUVABLE		
151	Dans ces bras-là	INTROUVABLE		
152	Des hommes	INTROUVABLE	(le roman commence au milieu d'une phrase, sans majuscule)	https://laurent-mauvignier.net/des-hommes-laurent-mauvignier-roman.html
93	Les Contemplations (« Demain, dès l'aube… »)	FAUX	(poème du livre IV, pas l'ouverture du recueil)	https://en.wikipedia.org/wiki/Demain_d%C3%A8s_l%27aube
99	Contes (Grimm)	FAUX	(formule générique, ne correspond à aucun conte précis)	
107	La Vie est ailleurs	FAUX	Quand la mère du poète se demandait où le poète avait été conçu, …	https://excerpts.numilog.com/books/9782070368341.pdf
